time_cost:23.83, lr:0.1, epoch:5, train_top1:20.96, train_topk:55.16, val_top1:21.24, val_topk:54.96
time_cost:24.28, lr:0.1, epoch:10, train_top1:77.65, train_topk:97.45, val_top1:72.73, val_topk:95.24
time_cost:24.21, lr:0.1, epoch:15, train_top1:85.71, train_topk:99.21, val_top1:78.02, val_topk:97.05
time_cost:24.16, lr:0.1, epoch:20, train_top1:89.88, train_topk:99.78, val_top1:83.00, val_topk:97.98
time_cost:24.23, lr:0.1, epoch:25, train_top1:90.28, train_topk:99.50, val_top1:80.59, val_topk:97.40
time_cost:24.25, lr:0.1, epoch:30, train_top1:92.66, train_topk:99.65, val_top1:83.79, val_topk:97.63
time_cost:24.25, lr:0.1, epoch:35, train_top1:95.19, train_topk:99.93, val_top1:85.47, val_topk:98.41
time_cost:24.24, lr:0.1, epoch:40, train_top1:95.24, train_topk:99.93, val_top1:85.54, val_topk:98.10
time_cost:24.22, lr:0.1, epoch:45, train_top1:95.71, train_topk:99.98, val_top1:85.45, val_topk:98.05
time_cost:24.62, lr:0.1, epoch:50, train_top1:96.53, train_topk:99.98, val_top1:85.74, val_topk:98.00
time_cost:24.34, lr:0.1, epoch:55, train_top1:94.57, train_topk:99.88, val_top1:84.03, val_topk:97.47
time_cost:24.22, lr:0.1, epoch:60, train_top1:97.82, train_topk:100.00, val_top1:85.77, val_topk:98.11
time_cost:24.23, lr:0.1, epoch:65, train_top1:98.34, train_topk:100.00, val_top1:87.52, val_topk:98.33
time_cost:24.22, lr:0.1, epoch:70, train_top1:98.36, train_topk:100.00, val_top1:86.23, val_topk:98.13
time_cost:24.21, lr:0.1, epoch:75, train_top1:98.81, train_topk:100.00, val_top1:86.60, val_topk:98.25
time_cost:24.17, lr:0.1, epoch:80, train_top1:98.39, train_topk:100.00, val_top1:87.14, val_topk:98.45
time_cost:75.97, lr:0.1, epoch:85, train_top1:98.41, train_topk:100.00, val_top1:86.81, val_topk:98.39
time_cost:76.20, lr:0.1, epoch:90, train_top1:99.31, train_topk:100.00, val_top1:88.12, val_topk:98.44
time_cost:76.04, lr:0.1, epoch:95, train_top1:99.36, train_topk:100.00, val_top1:86.10, val_topk:98.11
time_cost:75.93, lr:0.010000000000000002, epoch:100, train_top1:99.95, train_topk:100.00, val_top1:89.24, val_topk:98.54
time_cost:76.30, lr:0.010000000000000002, epoch:105, train_top1:99.93, train_topk:100.00, val_top1:89.28, val_topk:98.59
time_cost:76.22, lr:0.001, epoch:110, train_top1:100.00, train_topk:100.00, val_top1:89.32, val_topk:98.57
time_cost:77.31, lr:0.001, epoch:115, train_top1:99.98, train_topk:100.00, val_top1:89.50, val_topk:98.65
time_cost:77.53, lr:0.001, epoch:120, train_top1:99.98, train_topk:100.00, val_top1:89.46, val_topk:98.55
