time_cost:72.79, lr:0.1, epoch:5, train_top1:43.75, train_topk:79.59, val_top1:47.58, val_topk:82.18
time_cost:73.22, lr:0.1, epoch:10, train_top1:66.93, train_topk:95.09, val_top1:64.27, val_topk:94.41
time_cost:73.05, lr:0.1, epoch:15, train_top1:79.75, train_topk:97.89, val_top1:79.48, val_topk:97.68
time_cost:72.87, lr:0.1, epoch:20, train_top1:83.49, train_topk:98.66, val_top1:82.47, val_topk:98.35
time_cost:90.08, lr:0.1, epoch:25, train_top1:85.26, train_topk:99.05, val_top1:83.48, val_topk:98.91
time_cost:73.28, lr:0.1, epoch:30, train_top1:88.69, train_topk:99.66, val_top1:87.14, val_topk:99.11
time_cost:23.81, lr:0.1, epoch:35, train_top1:92.46, train_topk:99.82, val_top1:90.42, val_topk:99.61
time_cost:23.28, lr:0.1, epoch:40, train_top1:94.46, train_topk:99.87, val_top1:91.25, val_topk:99.69
time_cost:22.98, lr:0.1, epoch:45, train_top1:95.86, train_topk:99.95, val_top1:92.67, val_topk:99.75
time_cost:22.83, lr:0.1, epoch:50, train_top1:95.02, train_topk:99.97, val_top1:92.05, val_topk:99.53
time_cost:23.15, lr:0.1, epoch:55, train_top1:95.49, train_topk:99.97, val_top1:91.84, val_topk:99.55
time_cost:23.21, lr:0.1, epoch:60, train_top1:97.49, train_topk:100.00, val_top1:93.83, val_topk:99.74
time_cost:23.35, lr:0.1, epoch:65, train_top1:97.92, train_topk:100.00, val_top1:93.91, val_topk:99.74
time_cost:23.30, lr:0.1, epoch:70, train_top1:97.57, train_topk:100.00, val_top1:93.59, val_topk:99.79
time_cost:23.45, lr:0.1, epoch:75, train_top1:97.65, train_topk:100.00, val_top1:93.47, val_topk:99.68
time_cost:23.30, lr:0.1, epoch:80, train_top1:98.23, train_topk:100.00, val_top1:93.59, val_topk:99.73
time_cost:23.38, lr:0.1, epoch:85, train_top1:98.36, train_topk:100.00, val_top1:93.18, val_topk:99.58
time_cost:23.41, lr:0.1, epoch:90, train_top1:98.73, train_topk:100.00, val_top1:94.35, val_topk:99.79
time_cost:23.35, lr:0.1, epoch:95, train_top1:98.52, train_topk:99.97, val_top1:93.22, val_topk:99.63
time_cost:23.42, lr:0.010000000000000002, epoch:100, train_top1:99.95, train_topk:100.00, val_top1:96.57, val_topk:99.85
time_cost:23.38, lr:0.010000000000000002, epoch:105, train_top1:100.00, train_topk:100.00, val_top1:96.65, val_topk:99.85
time_cost:23.32, lr:0.001, epoch:110, train_top1:99.95, train_topk:100.00, val_top1:96.71, val_topk:99.84
time_cost:23.40, lr:0.001, epoch:115, train_top1:99.97, train_topk:100.00, val_top1:96.61, val_topk:99.85
time_cost:23.36, lr:0.001, epoch:120, train_top1:99.92, train_topk:100.00, val_top1:96.61, val_topk:99.85
