time_cost:27.13, lr:0.1, epoch:5, train_top1:81.75, train_topk:98.91, val_top1:74.57, val_topk:95.94
time_cost:27.18, lr:0.1, epoch:10, train_top1:90.53, train_topk:99.83, val_top1:80.88, val_topk:97.81
time_cost:27.30, lr:0.1, epoch:15, train_top1:94.27, train_topk:99.93, val_top1:84.66, val_topk:98.21
time_cost:27.26, lr:0.1, epoch:20, train_top1:97.69, train_topk:100.00, val_top1:87.10, val_topk:98.67
time_cost:28.08, lr:0.1, epoch:25, train_top1:97.27, train_topk:100.00, val_top1:86.66, val_topk:98.54
time_cost:28.25, lr:0.1, epoch:30, train_top1:98.02, train_topk:99.98, val_top1:86.43, val_topk:98.21
time_cost:28.19, lr:0.1, epoch:35, train_top1:98.24, train_topk:100.00, val_top1:86.71, val_topk:98.48
time_cost:28.19, lr:0.1, epoch:40, train_top1:99.36, train_topk:100.00, val_top1:88.44, val_topk:98.48
time_cost:28.13, lr:0.1, epoch:45, train_top1:99.08, train_topk:100.00, val_top1:88.11, val_topk:98.55
time_cost:28.21, lr:0.1, epoch:50, train_top1:99.08, train_topk:100.00, val_top1:86.67, val_topk:98.31
time_cost:28.08, lr:0.1, epoch:55, train_top1:99.11, train_topk:100.00, val_top1:87.95, val_topk:98.38
time_cost:28.17, lr:0.1, epoch:60, train_top1:99.28, train_topk:100.00, val_top1:87.54, val_topk:98.42
time_cost:28.11, lr:0.1, epoch:65, train_top1:99.48, train_topk:100.00, val_top1:88.34, val_topk:98.43
time_cost:28.07, lr:0.1, epoch:70, train_top1:99.45, train_topk:100.00, val_top1:87.81, val_topk:97.95
time_cost:28.13, lr:0.1, epoch:75, train_top1:99.63, train_topk:100.00, val_top1:88.00, val_topk:98.35
time_cost:28.09, lr:0.1, epoch:80, train_top1:99.78, train_topk:100.00, val_top1:87.68, val_topk:98.33
time_cost:28.00, lr:0.1, epoch:85, train_top1:99.70, train_topk:100.00, val_top1:88.45, val_topk:98.44
time_cost:24.73, lr:0.1, epoch:90, train_top1:99.78, train_topk:100.00, val_top1:89.05, val_topk:98.35
time_cost:25.03, lr:0.1, epoch:95, train_top1:99.88, train_topk:100.00, val_top1:89.23, val_topk:98.71
time_cost:25.12, lr:0.010000000000000002, epoch:100, train_top1:99.95, train_topk:100.00, val_top1:90.34, val_topk:98.75
time_cost:25.33, lr:0.010000000000000002, epoch:105, train_top1:100.00, train_topk:100.00, val_top1:90.30, val_topk:98.76
time_cost:25.43, lr:0.0010000000000000002, epoch:110, train_top1:100.00, train_topk:100.00, val_top1:90.41, val_topk:98.75
time_cost:25.38, lr:0.0010000000000000002, epoch:115, train_top1:100.00, train_topk:100.00, val_top1:90.41, val_topk:98.82
time_cost:25.48, lr:0.0010000000000000002, epoch:120, train_top1:100.00, train_topk:100.00, val_top1:90.51, val_topk:98.77
