time_cost:27.30, lr:0.1, epoch:5, train_top1:84.28, train_topk:98.87, val_top1:83.51, val_topk:98.97
time_cost:27.46, lr:0.1, epoch:10, train_top1:93.09, train_topk:99.74, val_top1:90.30, val_topk:99.49
time_cost:27.81, lr:0.1, epoch:15, train_top1:93.70, train_topk:99.92, val_top1:90.41, val_topk:99.64
time_cost:27.77, lr:0.1, epoch:20, train_top1:95.02, train_topk:99.92, val_top1:92.09, val_topk:99.61
time_cost:27.90, lr:0.1, epoch:25, train_top1:96.52, train_topk:99.95, val_top1:92.63, val_topk:99.59
time_cost:27.86, lr:0.1, epoch:30, train_top1:97.39, train_topk:100.00, val_top1:93.14, val_topk:99.73
time_cost:27.85, lr:0.1, epoch:35, train_top1:98.13, train_topk:99.95, val_top1:93.97, val_topk:99.79
time_cost:27.81, lr:0.1, epoch:40, train_top1:97.28, train_topk:99.97, val_top1:92.86, val_topk:99.61
time_cost:27.79, lr:0.1, epoch:45, train_top1:97.94, train_topk:100.00, val_top1:94.20, val_topk:99.74
time_cost:27.79, lr:0.1, epoch:50, train_top1:99.24, train_topk:100.00, val_top1:94.73, val_topk:99.81
time_cost:27.79, lr:0.1, epoch:55, train_top1:99.31, train_topk:100.00, val_top1:94.99, val_topk:99.76
time_cost:27.82, lr:0.1, epoch:60, train_top1:99.18, train_topk:100.00, val_top1:94.84, val_topk:99.79
time_cost:27.77, lr:0.1, epoch:65, train_top1:99.45, train_topk:100.00, val_top1:95.07, val_topk:99.82
time_cost:27.75, lr:0.1, epoch:70, train_top1:99.60, train_topk:100.00, val_top1:95.25, val_topk:99.75
time_cost:27.79, lr:0.1, epoch:75, train_top1:98.84, train_topk:100.00, val_top1:94.81, val_topk:99.82
time_cost:27.72, lr:0.1, epoch:80, train_top1:99.68, train_topk:100.00, val_top1:95.09, val_topk:99.84
time_cost:74.95, lr:0.1, epoch:85, train_top1:99.26, train_topk:100.00, val_top1:94.49, val_topk:99.80
time_cost:74.98, lr:0.1, epoch:90, train_top1:99.63, train_topk:100.00, val_top1:95.29, val_topk:99.78
time_cost:74.50, lr:0.1, epoch:95, train_top1:99.74, train_topk:100.00, val_top1:96.16, val_topk:99.87
time_cost:24.17, lr:0.010000000000000002, epoch:100, train_top1:100.00, train_topk:100.00, val_top1:96.93, val_topk:99.91
time_cost:24.34, lr:0.010000000000000002, epoch:105, train_top1:100.00, train_topk:100.00, val_top1:96.94, val_topk:99.90
time_cost:24.28, lr:0.0010000000000000002, epoch:110, train_top1:100.00, train_topk:100.00, val_top1:97.01, val_topk:99.91
time_cost:24.18, lr:0.0010000000000000002, epoch:115, train_top1:100.00, train_topk:100.00, val_top1:97.11, val_topk:99.89
time_cost:24.32, lr:0.0010000000000000002, epoch:120, train_top1:100.00, train_topk:100.00, val_top1:97.11, val_topk:99.90
